Liang W. , Haotian L. , 4:0 ,0.61,1.2,2013, Asian Tour 3
Liang W. , McGill A. , 4:3 ,0.9,0.8,2013, Asian Tour 3
McGill A. , Wilson G. , 4:1 ,1.75,0.4,2013, Asian Tour 3
Liang W. , Chuang L. , 4:2 ,0.4,1.75,2013, Asian Tour 3
McGill A. , Hao H. , 4:0 ,0.12,5,2013, Asian Tour 3
Dott G. , Ruke P. , 4:1 ,0.05,10,2013, Asian Tour 3
McGill A. , Higgins J. , 4:1 ,2.75,0.25,2013, Asian Tour 3
Wilson G. , McManus A. , 4:0 ,0.83,0.83,2013, Asian Tour 3
Haotian L. , Anda Z. , 4:2 ,1.11,0.7,2013, Asian Tour 3
Dott G. , Bingham S. , 4:3 ,1.25,0.57,2013, Asian Tour 3
Woollaston B. , Ning L. , 4:1 ,0.36,2,2013, Asian Tour 3
Long J. , Yinghui Z. , 4:0 ,0.61,1.2,2013, Asian Tour 3
Yalong Q. , Davies A. , 4:1 ,5,0.12,2013, Asian Tour 3
Xinlong C. , Weixue L. , 4:3 ,0.1,6,2013, Asian Tour 3
Yu F. , Jianzhong C. , 4:3 ,3,0.22,2013, Asian Tour 3
Zhen G. , Zeyuan F. , 4:1 ,0.3,2.4,2013, Asian Tour 3
Woollaston B. , Si X. , 4:0 ,0.06,10,2013, Asian Tour 3
Bingham S. , Ford T. , 4:3 ,0.44,1.71,2012, Asian Tour 3
Li H. , Milkins R. , 4:1 ,2.8,0.26,2012, Asian Tour 3
Xinlong C. , Ding J. , 4:3 ,3.5,0.17,2012, Asian Tour 3
Doherty K. , Fu M. , 4:3 ,0.72,1,2012, Asian Tour 3
Guodong X. , Walden R. , 4:1 ,1.5,0.5,2012, Asian Tour 3
Xinlong C. , Dale D. , 4:1 ,2.75,0.25,2012, Asian Tour 3
Delu Y. , Day R. , 4:3 ,2,0.36,2012, Asian Tour 3
Ding J. , Zepeng W. , 4:0 ,0.06,8,2012, Asian Tour 3
Xiwen M. , Pengfei T. , 4:1 ,3.5,0.2,2012, Asian Tour 3
Pinches B. , Harrison B. , 4:1 ,0.28,2.5,2012, Asian Tour 3
Guodong X. , Maimaiti R. , 4:0 ,0.28,2.5,2012, Asian Tour 3
Higgins J. , Gould M. , 9:8 ,0.57,1.4,2015, Australian Open
Gould M. , Maguire S. , 6:1 ,1.49,0.54,2015, Australian Open
Higgins J. , Jones Jam. , 6:4 ,0.45,1.75,2015, Australian Open
Gould M. , Selt M. , 5:1 ,0.73,1.09,2015, Australian Open
Maguire S. , Trump J. , 5:1 ,1.77,0.44,2015, Australian Open
Jones Jam. , White M. , 5:4 ,1.35,0.59,2015, Australian Open
Higgins J. , Perry J. , 5:3 ,0.67,1.18,2015, Australian Open
Selt M. , Joyce M. , 5:4 ,0.51,1.51,2015, Australian Open
White M. , Carter A. , 5:4 ,1.09,0.72,2015, Australian Open
Gould M. , Holt M. , 5:3 ,0.56,1.38,2015, Australian Open
Higgins J. , O'Brien F. , 5:1 ,0.39,2.03,2015, Australian Open
Perry J. , Milkins R. , 5:3 ,0.54,1.48,2015, Australian Open
Jones Jam. , Selby M. , 5:1 ,2.83,0.26,2015, Australian Open
Maguire S. , Walden R. , 5:4 ,0.67,1.19,2015, Australian Open
Trump J. , Burns I. , 5:2 ,0.12,5.12,2015, Australian Open
Jones Jam. , Davis M. , 5:4 ,1.51,0.52,2015, Australian Open
Carter A. , Murphy S. , 5:4 ,1.99,0.39,2015, Australian Open
Gould M. , Fu M. , 5:4 ,1.45,0.54,2015, Australian Open
Holt M. , Greene G. , 5:0 ,0.55,1.43,2015, Australian Open
Selt M. , Robertson N. , 5:4 ,2.69,0.28,2015, Australian Open
Joyce M. , Allen M. , 5:2 ,2.53,0.28,2015, Australian Open
Selby M. , King M. , 5:1 ,0.19,3.66,2015, Australian Open
Milkins R. , Ridley A. , 5:1 ,0.18,3.79,2015, Australian Open
Perry J. , Burnett J. , 5:3 ,0.31,2.38,2015, Australian Open
Burns I. , Guodong X. , 5:3 ,1.93,0.4,2015, Australian Open
Trump J. , Lisowski J. , 5:0 ,0.23,3.11,2015, Australian Open
O'Brien F. , Bingham S. , 5:4 ,2.53,0.29,2015, Australian Open
Walden R. , Higginson A. , 5:3 ,0.34,2.19,2015, Australian Open
Maguire S. , Walker J. , 5:0 ,0.27,2.67,2015, Australian Open
Higgins J. , Georgiou M. , 5:2 ,0.18,3.88,2015, Australian Open
Selt M. , Judge B. , 5:0 ,0.12,5.14,2015, Australian Open
Ridley A. , Woollaston B. , 5:3 ,4.6,0.14,2015, Australian Open
Carter A. , Wilson K. , 5:1 ,0.38,1.99,2015, Australian Open
Burnett J. , Ebdon P. , 5:4 ,1.34,0.57,2015, Australian Open
Georgiou M. , Gilbert D. , 5:4 ,1.65,0.46,2015, Australian Open
O'Brien F. , Swail J. , 5:2 ,0.61,1.26,2015, Australian Open
Woollaston B. , Zhou Y. , 5:2 ,0.54,1.42,2015, Australian Open
Joyce M. , Brecel L. , 5:4 ,1.42,0.53,2015, Australian Open
Jones Jam. , Wakelin C. , 5:3 ,0.54,1.41,2015, Australian Open
King M. , Taylor Al. , 5:4 ,0.29,2.49,2015, Australian Open
Selt M. , Anda Z. , 5:1 ,0.42,1.76,2015, Australian Open
Higginson A. , Dunn M. , 5:3 ,0.55,1.4,2015, Australian Open
Gould M. , Leslie M. , 5:1 ,0.21,3.31,2015, Australian Open
Greene G. , Morris D. , 5:0 ,1.08,0.72,2015, Australian Open
Burns I. , Lawler R. , 5:4 ,1.14,0.68,2015, Australian Open
Lisowski J. , Robertson J. , 5:1 ,1.25,0.62,2015, Australian Open
Walker J. , Wilson G. , 5:3 ,1.35,0.57,2015, Australian Open
Wilson K. , Doherty K. , 5:4 ,0.76,1.02,2015, Australian Open
Burnett J. , Lines O. , 5:2 ,0.85,0.91,2015, Australian Open
Georgiou M. , Mehta A. , 5:4 ,1.29,0.59,2015, Australian Open
Swail J. , Mann M. , 5:3 ,0.62,1.23,2015, Australian Open
Zhou Y. , Lines P. , 5:3 ,0.67,1.14,2015, Australian Open
Taylor Al. , Li H. , 5:4 ,1.92,0.39,2015, Australian Open
Wakelin C. , Highfield L. , 5:2 ,0.69,1.12,2015, Australian Open
Joyce M. , Williams R. , 5:1 ,0.85,0.9,2015, Australian Open
Anda Z. , Xintong Z. , 5:3 ,1.18,0.66,2015, Australian Open
Higginson A. , Hamilton A. , 5:3 ,0.62,1.24,2015, Australian Open
Leslie M. , Baird S. , 5:0 ,1.48,0.52,2015, Australian Open
Lisowski J. , McLeod R. , 5:4 ,0.55,1.4,2015, Australian Open
Morris D. , Patrick F. , 5:3 ,0.56,1.37,2015, Australian Open
Walker J. , Duffy A. , 5:3 ,0.68,1.14,2015, Australian Open
Burns I. , Wasley M. , 5:2 ,1.18,0.66,2015, Australian Open
Georgiou M. , Muir R. , 5:0 ,0.66,1.18,2015, Australian Open
Lines P. , John D. , 5:1 ,0.31,2.41,2015, Australian Open
Mann M. , Grace D. , 5:4 ,0.62,1.23,2015, Australian Open
Mehta A. , O'Sullivan S. , 5:4 ,0.37,2.02,2015, Australian Open
Swail J. , Craig D. , 5:0 ,0.27,2.72,2015, Australian Open
Burnett J. , Allen G. , 5:1 ,0.26,2.74,2015, Australian Open
Doherty K. , Lam S. , 5:1 ,0.35,2.11,2015, Australian Open
Lines O. , Hallworth S. , 5:3 ,0.47,1.64,2015, Australian Open
Wilson K. , Glover I. , 5:3 ,0.33,2.25,2015, Australian Open
Zhou Y. , O'Donnell M. , 5:3 ,0.4,1.88,2015, Australian Open
Anda Z. , Wells D. , 5:2 ,0.49,1.6,2015, Australian Open
Taylor Al. , Carrington S. , 5:4 ,1.97,0.38,2015, Australian Open
Highfield L. , Hugill A. , 5:0 ,0.21,3.27,2015, Australian Open
Li H. , Clark R. , 5:1 ,0.31,2.42,2015, Australian Open
Wakelin C. , Steadman C. , 5:0 ,1.36,0.57,2015, Australian Open
Walker L. , Zhe C. , 5:2 ,0.48,1.57,2015, Australian Open
Baird S. , Jones D. , 5:1 ,0.31,2.38,2015, Australian Open
Patrick F. , Ford T. , 5:1 ,1.26,0.61,2015, Australian Open
Joyce M. , Sharav E. , 5:1 ,0.38,1.98,2015, Australian Open
Leslie M. , Cahill J. , 5:3 ,1.1,0.7,2015, Australian Open
Morris D. , Ning L. , 5:2 ,0.31,2.39,2015, Australian Open
Xintong Z. , Pinches B. , 5:2 ,0.68,1.08,2015, Australian Open
Williams R. , Jennings N. , 5:2 ,0.19,3.44,2015, Australian Open
Burns I. , Nasir S. , 5:1 ,0.38,2,2015, Australian Open
Duffy A. , Donaldson S. , 5:1 ,1.33,0.56,2015, Australian Open
Hamilton A. , Miah H. , 5:1 ,0.25,2.81,2015, Australian Open
Higginson A. , Davison P. , 5:2 ,0.45,1.7,2015, Australian Open
Lisowski J. , Wilson S. , 5:2 ,0.25,2.87,2015, Australian Open
McLeod R. , Bond N. , 5:2 ,0.86,0.9,2015, Australian Open
Walker J. , Cope J. , 5:2 ,1.38,0.55,2015, Australian Open
Wasley M. , Calabrese V. , 5:1 ,0.48,1.61,2015, Australian Open
Allen G. , Edge A. , 5:3 ,0.36,2.1,2015, Australian Open
John D. , Burden A. , 5:1 ,4,0.15,2015, Australian Open
Hallworth S. , Nicholson J. , 5:0 ,0.24,3,2015, Australian Open
Muir R. , Downing C. , 5:4 ,0.19,3.62,2015, Australian Open
O'Donnell M. , Fernandez L. , 5:3 ,0.6,1.28,2015, Australian Open
O'Sullivan S. , Sargeant B. , 5:2 ,0.25,2.93,2015, Australian Open
Grace D. , Keogan C. , 5:4 ,0.33,2.29,2015, Australian Open
Craig D. , Hill D. , 5:3 ,1.24,0.63,2015, Australian Open
Clark R. , Miles G. , 5:1 ,0.23,3.12,2015, Australian Open
Glover I. , Higgins R. , 5:0 ,0.35,2.17,2015, Australian Open
Lam S. , Day M. , 5:3 ,0.52,1.48,2015, Australian Open
Taylor Al. , Dent S. , 5:2 ,0.28,2.64,2015, Australian Open
Wakelin C. , Taubman A. , 5:1 ,0.22,3.21,2015, Australian Open
Hugill A. , Yong Z. , 5:1 ,0.98,0.79,2015, Australian Open
Cahill J. , Cundy J. , 5:2 ,0.32,2.29,2015, Australian Open
Jennings N. , Chenwei L. , 5:1 ,1.72,0.44,2015, Australian Open
Jones D. , Thistlewhite S. , 5:1 ,0.52,1.5,2015, Australian Open
Ning L. , O'Connor J. , 5:4 ,0.55,1.42,2015, Australian Open
Patrick F. , Williams Mi. , 5:0 ,0.32,2.36,2015, Australian Open
Sharav E. , Milliard A. , 5:3 ,0.28,2.66,2015, Australian Open
Wells D. , Curtis-Barrett J. , 5:3 ,0.31,2.48,2015, Australian Open
Xintong Z. , Johal K. , 5:1 ,0.48,1.63,2015, Australian Open
Bond N. , Craigie S. , 5:4 ,0.35,2.2,2015, Australian Open
Calabrese V. , Castle B. J. , 5:2 ,0.39,1.97,2015, Australian Open
Cope J. , Macfarlane S. , 5:2 ,0.15,4.26,2015, Australian Open
Davison P. , Harvey S. , 5:1 ,0.36,2.14,2015, Australian Open
Duffy A. , Carty A. , 5:4 ,0.5,1.58,2015, Australian Open
Miah H. , Weston J. , 5:2 ,0.85,0.93,2015, Australian Open
Nasir S. , White J. , 5:4 ,2.8,0.27,2015, Australian Open
Wilson S. , Brown O. , 5:2 ,0.71,1.13,2015, Australian Open
Trump J. , Robertson N. , 9:5 ,1.34,0.59,2014, Australian Open
Robertson N. , Davis M. , 6:2 ,0.27,2.68,2014, Australian Open
Trump J. , Guodong X. , 6:3 ,0.41,1.87,2014, Australian Open
Davis M. , Bingham S. , 5:4 ,1.22,0.64,2014, Australian Open
Robertson N. , Milkins R. , 5:2 ,0.18,3.74,2014, Australian Open
Guodong X. , Stevens M. , 5:2 ,0.67,1.16,2014, Australian Open
Trump J. , Walden R. , 5:4 ,0.44,1.74,2014, Australian Open
Davis M. , Murphy S. , 5:3 ,1.97,0.37,2014, Australian Open
Robertson N. , Jones Jam. , 5:0 ,0.15,4.18,2014, Australian Open
Walden R. , Gould M. , 5:2 ,0.8,1,2014, Australian Open
Trump J. , McManus A. , 5:3 ,0.32,2.4,2014, Australian Open
Bingham S. , Joyce M. , 5:2 ,0.43,1.7,2014, Australian Open
Guodong X. , Ebdon P. , 5:4 ,0.65,1.21,2014, Australian Open
Gould M. , Holt M. , 5:3 ,0.76,1,2014, Australian Open
Robertson N. , Higginson A. , 5:2 ,0.18,3.64,2014, Australian Open
Ebdon P. , Hawkins B. , 5:2 ,2.25,0.33,2014, Australian Open
Trump J. , McLeod R. , 5:2 ,0.17,3.71,2014, Australian Open
Murphy S. , Lisowski J. , 5:0 ,0.42,1.75,2014, Australian Open
McManus A. , Perry J. , 5:4 ,1.45,0.52,2014, Australian Open
Jones Jam. , Maguire S. , 5:0 ,2.18,0.33,2014, Australian Open
Milkins R. , Higgins J. , 5:2 ,1.71,0.42,2014, Australian Open
Guodong X. , Highfield L. , 5:2 ,0.4,1.81,2014, Australian Open
Stevens M. , O'Brien F. , 5:2 ,0.74,1.07,2014, Australian Open
Bingham S. , Donaldson S. , 5:0 ,0.3,2.37,2014, Australian Open
Davis M. , Dale D. , 5:3 ,0.78,0.99,2014, Australian Open
Higgins J. , Ford T. , 5:3 ,0.36,2,2014, Australian Open
Walden R. , Campbell M. , 5:0 ,0.28,2.53,2014, Australian Open
Joyce M. , Day R. , 5:3 ,1.73,0.43,2014, Australian Open
Milkins R. , Liang W. , 5:3 ,1.14,0.67,2014, Australian Open
O'Brien F. , Allen M. , 5:2 ,2.23,0.33,2014, Australian Open
Stevens M. , Brecel L. , 5:3 ,0.62,1.22,2014, Australian Open
Dale D. , Younger J. , 5:0 ,0.13,4.72,2014, Australian Open
Higginson A. , Bolton M. , 5:0 ,0.14,4.34,2014, Australian Open
Campbell M. , Leslie M. , 5:4 ,0.62,1.2,2014, Australian Open
McLeod R. , Doherty K. , 5:1 ,1.03,0.72,2014, Australian Open
Ebdon P. , Pinches B. , 5:3 ,0.64,1.17,2014, Australian Open
Gould M. , Dunn M. , 5:3 ,0.41,1.74,2014, Australian Open
Brecel L. , Lawler R. , 5:3 ,0.85,0.89,2014, Australian Open
McManus A. , Swail J. , 5:4 ,0.54,1.36,2014, Australian Open
O'Brien F. , Carrington S. , 5:2 ,0.57,1.29,2014, Australian Open
Highfield L. , Woollaston B. , 5:2 ,1.31,0.56,2014, Australian Open
Dale D. , Haotian L. , 5:0 ,0.5,1.56,2014, Australian Open
Ford T. , Brown O. , 5:1 ,0.6,1.28,2014, Australian Open
Lisowski J. , Gilbert D. , 5:2 ,0.85,0.9,2014, Australian Open
Higginson A. , Mehta A. , 5:4 ,0.75,1.04,2014, Australian Open
Joyce M. , Burns I. , 5:4 ,0.66,1.16,2014, Australian Open
Jones Jam. , King M. , 5:1 ,1.18,0.66,2014, Australian Open
Liang W. , Robertson J. , 5:2 ,0.44,1.71,2014, Australian Open
Donaldson S. , Maflin K. , 5:2 ,1.25,0.62,2014, Australian Open
